name,latitude,longitude,country_code
Makallé,-27.20573,-59.28709,AR
Maipú,-36.86296,-57.88312,AR
Magdalena,-35.07997,-57.51368,AR
Maciá,-32.17254,-59.4006,AR
Luján,-34.5664,-59.11478,AR
Lucas González,-32.38436,-59.53086,AR
Los Polvorines,-34.50316,-58.70596,AR
Los Helechos,-27.557,-55.076,AR
Los Conquistadores,-30.59017,-58.46865,AR
Los Charrúas,-31.17038,-58.18569,AR
Loreto,-27.76835,-57.2753,AR
Loreto,-27.33177,-55.52499,AR
Lomas de Zamora,-34.7574,-58.40279,AR
Lomas de Vallejos,-27.73767,-57.91981,AR
Lobos,-35.18537,-59.09788,AR
Lobería,-38.16338,-58.78185,AR
Colonia Libertad,-30.04328,-57.82175,AR
Leandro N. Alem,-27.60376,-55.32365,AR
La Verde,-27.12894,-59.37546,AR
Las Toscas,-28.35436,-59.25884,AR
Las Garcitas,-26.61802,-59.80135,AR
Las Flores,-36.01427,-59.09986,AR
Larroque,-33.03511,-58.99982,AR
La Plata,-34.92126,-57.95442,AR
La Paz,-30.74179,-59.64517,AR
Lapachito,-27.16011,-59.38644,AR
Lanús,-34.70757,-58.39132,AR
La Leonesa,-27.03751,-58.70498,AR
Laguna Naick-Neck,-25.22183,-58.12066,AR
Laguna Limpia,-26.49545,-59.68118,AR
La Escondida,-27.10554,-59.44603,AR
La Eduvigis,-26.83607,-59.06211,AR
La Cruz,-29.17625,-56.64262,AR
La Criolla,-31.26909,-58.10892,AR
Juan Pujol,-30.41934,-57.85598,AR
Jardín América,-27.04346,-55.22698,AR
Ituzaingó,-34.66041,-58.66624,AR
Ituzaingó,-27.58504,-56.68707,AR
Itatí,-27.26915,-58.24249,AR
Itá Ibaté,-27.42589,-57.33826,AR
Ibarreta,-25.2144,-59.8582,AR
Hurlingham,-34.5904,-58.62904,AR
Herrera,-32.43401,-58.63177,AR
Herradura,-26.48983,-58.31172,AR
Herlitzka,-27.56606,-58.25935,AR
Hasenkamp,-31.51212,-59.83537,AR
Guaraní,-27.52323,-55.16077,AR
Gualeguaychú,-33.00777,-58.51836,AR
Gualeguay,-33.14091,-59.31257,AR
Goya,-29.13995,-59.26343,AR
Gobernador Roca,-27.19057,-55.46927,AR
Gobernador Mansilla,-32.54548,-59.3566,AR
Gobernador Juan E. Martínez,-28.91161,-58.93594,AR
Gobernador Virasora,-28.05,-56.03333,AR
General Vedia,-26.93243,-58.65919,AR
Ciudad del Libertador General San Martín,-34.57789,-58.53864,AR
General Rodríguez,-34.60658,-58.95221,AR
General Pacheco,-34.45256,-58.64312,AR
General Lavalle,-36.40809,-56.94336,AR
General Las Heras,-34.92682,-58.94667,AR
General Juan Madariaga,-37.00196,-57.13584,AR
General José de San Martín,-26.53643,-59.34138,AR
General Guido,-36.64168,-57.79213,AR
General Galarza,-32.72039,-59.39587,AR
General Conesa,-36.52086,-57.32494,AR
General Campos,-31.52341,-58.4058,AR
General Belgrano,-35.76842,-58.49444,AR
General Alvear,-27.42611,-55.16916,AR
Garupá,-27.48315,-55.82924,AR
Garuhapé,-26.82116,-54.95774,AR
Garruchos,-28.17208,-55.65406,AR
Formosa,-26.18489,-58.17313,AR
Fontana,-27.42039,-59.03731,AR
Florentino Ameghino,-27.63335,-55.08372,AR
San Juan Bautista,-34.80896,-58.27623,AR
Felipe Yofré,-29.10339,-58.34124,AR
Federal,-30.95619,-58.7797,AR
Federación,-30.99114,-57.91789,AR
Ezeiza,-34.8544,-58.52474,AR
Esquina,-30.01476,-59.5289,AR
El Espinillo,-24.98148,-58.55256,AR
Ensenada,-34.86074,-57.91238,AR
Empedrado,-27.95178,-58.80584,AR
El Soberbio,-27.29662,-54.19811,AR
El Palomar,-34.61771,-58.60153,AR
Eldorado,-26.40453,-54.61847,AR
El Colorado,-26.30896,-59.37226,AR
El Alcázar,-26.71377,-54.81482,AR
Dos de Mayo,-27.01998,-54.68462,AR
Dos Arroyos,-27.69946,-55.25207,AR
Don Torcuato,-34.49459,-58.62729,AR
Villa Domínguez,-31.98629,-58.96163,AR
Dolores,-36.31539,-57.67546,AR
Curuzú Cuatiá,-29.79145,-58.0499,AR
Cruz de los Milagros,-28.83611,-59.00599,AR
Cote Lai,-27.53022,-59.57346,AR
Corrientes,-27.46784,-58.8344,AR
Coronel Vidal,-37.44652,-57.72939,AR
Conscripto Bernardi,-31.04686,-59.08404,AR
Concordia,-31.39195,-58.01706,AR
Concepción del Uruguay,-32.48463,-58.23217,AR
Concepción de la Sierra,-27.98225,-55.5208,AR
Concepción,-28.3932,-57.88679,AR
Comandante Fontana,-25.3354,-59.6825,AR
Colonias Unidas,-26.69831,-59.63029,AR
Colonia Elisa,-26.93166,-59.51882,AR
Colonia Elía,-32.67144,-58.32538,AR
Colonia Benítez,-27.33026,-58.94579,AR
Colonia Aurora,-27.4737,-54.52416,AR
Colón,-32.22312,-58.14426,AR
Colegiales,-34.57365,-58.44924,AR
Clorinda,-25.28627,-57.72168,AR
Ciervo Petiso,-26.58016,-59.63006,AR
Chavarría,-28.95525,-58.5718,AR
Chascomús,-35.57681,-58.01215,AR
Charadai,-27.65503,-59.86291,AR
Chajarí,-30.75482,-57.98196,AR
Cerro Corá,-27.51377,-55.60895,AR
Cerro Azul,-27.63363,-55.49746,AR
Ceibas,-33.49911,-58.80015,AR
Castelli,-36.09092,-57.80748,AR
Castelar,-34.65142,-58.64074,AR
Caseros,-34.60688,-58.56392,AR
Caseros,-32.465,-58.47742,AR
Carmen de Areco,-34.3766,-59.82272,AR
Caraguatay,-26.60587,-54.78093,AR
Capitán Solari,-26.80247,-59.55724,AR
Capitán Sarmiento,-34.1713,-59.79146,AR
Capioví,-26.92936,-55.05773,AR
Capilla del Señor,-34.29169,-59.10126,AR
Cañuelas,-35.05379,-58.76205,AR
Candelaria,-27.4617,-55.7449,AR
Campo Viera,-27.33271,-55.05651,AR
Campo Ramón,-27.4549,-55.02122,AR
Campo Grande,-27.2077,-54.97977,AR
Campana,-34.16327,-58.95919,AR
Estación Camet,-37.88876,-57.60563,AR
Buenos Aires,-34.61315,-58.37723,AR
Coronel Brandsen,-35.16799,-58.23742,AR
Bovril,-31.34358,-59.44652,AR
Bonpland,-29.81708,-57.42974,AR
Bonpland,-27.48347,-55.47784,AR
Boedo,-34.63333,-58.41667,AR
Berón de Astrada,-27.55144,-57.53043,AR
Bernardo de Irigoyen,-26.25543,-53.64682,AR
Berisso,-34.8715,-57.88328,AR
Berazategui,-34.76531,-58.21278,AR
Benito Juárez,-37.67188,-59.80653,AR
Bella Vista,-34.5651,-58.69034,AR
Bella Vista,-28.50752,-59.04149,AR
Belgrano,-34.5627,-58.45829,AR
Belén de Escobar,-34.34602,-58.79442,AR
Basavilbaso,-32.37213,-58.87858,AR
Basail,-27.88539,-59.28245,AR
Barranqueras,-27.48132,-58.93925,AR
Barracas,-34.64966,-58.38341,AR
Baradero,-33.81199,-59.50467,AR
Balcarce,-37.84638,-58.25549,AR
Azul,-36.77803,-59.85848,AR
Azara,-28.06067,-55.67709,AR
Ayacucho,-37.15276,-58.48838,AR
Avellaneda,-29.11761,-59.65834,AR
Arroyo del Medio,-27.69748,-55.40376,AR
Aristóbulo del Valle,-27.09571,-54.89344,AR
Apóstoles,-27.91421,-55.75355,AR
Alvear,-29.09689,-56.55038,AR
Almafuerte,-27.50825,-55.40258,AR
Aldea San Antonio,-32.62317,-58.70512,AR
Alba Posse,-27.56942,-54.68383,AR
Guernica,-34.9162,-58.38111,AR
Villa Basilio Nievas,-31.55,-68.73333,AR
Zapala,-38.90056,-70.06674,AR
Yuto,-23.64281,-64.47162,AR
Yerba Buena,-26.81298,-65.29543,AR
Yacimientos Río Turbio,-51.53642,-72.33786,AR
Winifreda,-36.22643,-64.23388,AR
Wenceslao Escalante,-33.17166,-62.76931,AR
Vista Alegre Norte,-38.73425,-68.17115,AR
Vinchina,-28.75964,-68.20692,AR
Villa Valeria,-34.34141,-64.92068,AR
Villa Urquiza,-31.64757,-60.37516,AR
Villa Unión,-29.41362,-62.7904,AR
Villa Unión,-29.31654,-68.22745,AR
Villa Tulumba,-30.39546,-64.12232,AR
Villa Trinidad,-30.21522,-61.87634,AR
Villa Santa Rosa,-31.74484,-68.31435,AR
Villa Rumipal,-32.18941,-64.4792,AR
Villa Regina,-39.09631,-67.08374,AR
Villa Reducción,-33.20105,-63.86234,AR
Villa Paula de Sarmiento,-31.4933,-68.53838,AR
Villa Ojo de Agua,-29.50281,-63.69497,AR
Villa Nueva,-32.43289,-63.24811,AR
Villa Mugueta,-33.31129,-61.05515,AR
Villa Media Agua,-31.9831,-68.42499,AR
Villa María,-32.40751,-63.24016,AR
Villa de las Rosas,-31.94714,-65.05213,AR
Villa La Angostura,-40.76173,-71.64631,AR
Villa Krause,-31.56667,-68.53333,AR
Villa Huidobro,-34.83826,-64.58686,AR
Villa Giardino,-31.0503,-64.49678,AR
Villa General Roca,-32.66589,-66.4508,AR
Villa General Mitre,-29.14175,-62.65455,AR
Villa General Belgrano,-31.97828,-64.55627,AR
Villa Dolores,-31.94504,-65.19025,AR
Villa de Soto,-30.85524,-64.98496,AR
Villa de María,-29.90651,-63.7226,AR
Villa del Totoral,-30.81667,-63.71667,AR
Villa El Salvador,-31.45328,-68.40392,AR
Villa del Rosario,-31.55416,-63.53562,AR
Villa del Dique,-32.17628,-64.45694,AR
Villa Cura Brochero,-31.70642,-65.01864,AR
Villa Constitución,-33.22795,-60.32994,AR
Villa Concepción del Tío,-31.32212,-62.81399,AR
Chañar Ladeado,-33.32522,-62.03722,AR
Villa Castelli,-29.01447,-68.22339,AR
Villa Carlos Paz,-31.4183,-64.49008,AR
Villa Cañás,-34.00406,-61.60685,AR
Villa Bustos,-29.28636,-67.02067,AR
Villa Berthet,-27.28567,-60.41579,AR
Villa Atamisqui,-28.49644,-63.81733,AR
Villa Ascasubi,-32.16274,-63.89237,AR
Villa Ángela,-27.57679,-60.71114,AR
Villa Allende,-31.29368,-64.2977,AR
Villa Aberastain,-31.65805,-68.57953,AR
Viedma,-40.81519,-63.0004,AR
Vicuña Mackenna,-33.91823,-64.39066,AR
Victorica,-36.21654,-65.43709,AR
Victoria,-32.61841,-60.15478,AR
Viamonte,-33.74614,-63.09737,AR
Viale,-31.86819,-60.00755,AR
Vera,-29.45986,-60.21315,AR
Venado Tuerto,-33.74585,-61.96711,AR
28 de Noviembre,-51.5839,-72.21382,AR
Veinticinco de Mayo,-37.77491,-67.71354,AR
Veinticinco de Mayo,-35.43247,-60.17156,AR
Vedia,-34.49791,-61.54231,AR
Valle Hermoso,-31.11205,-64.48114,AR
Valle Grande,-23.47604,-64.94822,AR
Valcheta,-40.67989,-66.16283,AR
Ushuaia,-54.81084,-68.31591,AR
Uriburu,-36.50701,-63.86207,AR
Unquillo,-31.23717,-64.31176,AR
Unión,-35.15378,-65.94619,AR
Ulapes,-31.57323,-66.23709,AR
Ucacha,-33.03175,-63.50667,AR
Tupungato,-33.36926,-69.14781,AR
Tunuyán,-33.58125,-69.01537,AR
Tumbaya,-23.85814,-65.46704,AR
Trevelin,-43.0858,-71.46386,AR
Tres Lomas,-36.45912,-62.86243,AR
Tres Isletas,-26.34067,-60.43207,AR
Tres Arroyos,-38.37694,-60.27563,AR
Tres Algarrobos,-35.1956,-62.77423,AR
Trenque Lauquen,-35.97334,-62.73275,AR
Trenel,-35.69833,-64.13329,AR
Trelew,-43.24895,-65.30505,AR
Trancas,-26.23136,-65.28093,AR
Totoras,-32.58472,-61.16762,AR
Tostado,-29.23269,-61.76869,AR
Tornquist,-38.10128,-62.22295,AR
Toledo,-31.55378,-64.00742,AR
Toay,-36.6739,-64.37979,AR
Tío Pujio,-32.28752,-63.3549,AR
Tintina,-27.02687,-62.70643,AR
Tinogasta,-28.06556,-67.56437,AR
Tilisarao,-32.73125,-65.29138,AR
Tilcara,-23.57817,-65.39516,AR
Ticino,-32.69328,-63.43646,AR
Termas de Río Hondo,-27.49362,-64.85972,AR
Telsen,-42.43553,-66.94321,AR
Telén,-36.26396,-65.51035,AR
Tecka,-43.49287,-70.81078,AR
Tartagal,-22.51682,-63.8056,AR
Tapalqué,-36.35624,-60.02511,AR
Tancacha,-32.23751,-63.97983,AR
Tamberías,-31.45868,-69.422,AR
Tama,-30.50726,-66.52954,AR
Tafí Viejo,-26.7333,-65.26146,AR
Tafí del Valle,-26.85195,-65.71069,AR
Taco Pozo,-25.61557,-63.26708,AR
Susques,-23.39858,-66.36753,AR
Suncho Corral,-27.93195,-63.43021,AR
Sunchales,-30.94478,-61.5597,AR
Sumampa,-29.38243,-63.47683,AR
Simoca,-27.2629,-65.35792,AR
Sierra Grande,-41.60546,-65.35702,AR
Sierra Colorada,-40.58575,-67.75725,AR
Serrezuela,-30.63955,-65.38697,AR
Serrano,-34.47156,-63.53822,AR
Senillosa,-39.01412,-68.43281,AR
Selva,-29.76825,-62.04753,AR
Seguí,-31.95647,-60.12784,AR
Sebastián Elcano,-30.1604,-63.59245,AR
Saujil,-28.17471,-66.21604,AR
Saturnino María Laspiur,-31.70349,-62.48346,AR
Sastre,-31.76672,-61.82872,AR
Sarmiento,-45.58687,-69.06894,AR
Santo Tomé,-31.66274,-60.7653,AR
Santiago Temple,-31.38597,-63.4196,AR
Santiago del Estero,-27.80047,-64.26285,AR
Santa Victoria,-22.25124,-64.96549,AR
Santa Sylvina,-27.83154,-61.13601,AR
Santa Rosa de Tastil,-24.45078,-65.95183,AR
Santa Rosa de Río Primero,-31.15353,-63.39938,AR
Santa Rosa del Conlara,-32.3428,-65.20506,AR
Santa Rosa de Calamuchita,-32.06439,-64.53961,AR
Santa Rosa,-36.61617,-64.28991,AR
Santa Rosa,-33.25407,-68.15066,AR
Santa María,-26.69456,-66.04805,AR
Jovita,-34.51886,-63.94404,AR
Santa Lucía,-31.54055,-68.49794,AR
Santa Isabel,-36.2302,-66.93897,AR
Santa Fe,-31.64881,-60.70868,AR
Santa Eufemia,-33.17622,-63.28288,AR
Santa Clara,-24.30957,-64.66135,AR
Santa Catalina,-21.94567,-66.05188,AR
San Salvador de Jujuy,-24.1928,-65.29342,AR
San Ramón de la Nueva Orán,-23.13705,-64.32426,AR
San Rafael,-34.61531,-68.33238,AR
San Pedro de Guasayán,-27.95386,-65.16651,AR
San Pedro de Jujuy,-24.23127,-64.86614,AR
Sañogasta,-29.0952,-67.11586,AR
San Nicolás de los Arroyos,-33.33425,-60.2108,AR
San Miguel de Tucumán,-26.81601,-65.21051,AR
San Martín de los Andes,-40.15789,-71.35337,AR
San Martín,-33.08338,-68.47312,AR
Villa General San Martín,-31.43963,-68.5205,AR
San Marcos Sierra,-30.78339,-64.64083,AR
San Luis,-33.2914,-66.32467,AR
San Lorenzo,-32.74341,-60.73613,AR
San Justo,-30.78991,-60.59276,AR
San Juan,-31.53726,-68.52568,AR
San José de la Dormida,-30.35628,-63.95038,AR
San José de Jáchal,-30.24162,-68.74662,AR
San José,-28.38756,-65.70087,AR
San Jorge,-31.89706,-61.85993,AR
San Isidro,-28.45775,-65.72498,AR
San Francisco del Monte de Oro,-32.60029,-66.12713,AR
San Francisco del Chañar,-29.7883,-63.94411,AR
San Francisco,-31.42497,-62.08404,AR
Catamarca,-28.46957,-65.78524,AR
San Cristóbal,-30.31038,-61.23492,AR
San Carlos de Bolívar,-36.23071,-61.1157,AR
San Carlos Centro,-31.72864,-61.09192,AR
San Carlos Minas,-31.1764,-65.10248,AR
San Carlos,-25.89317,-65.92906,AR
San Blas,-28.4078,-67.09189,AR
San Bernardo,-27.28672,-60.71293,AR
San Benito,-31.78283,-60.43949,AR
San Basilio,-33.49791,-64.31481,AR
San Antonio Oeste,-40.73193,-64.94769,AR
San Antonio de los Cobres,-24.22131,-66.32025,AR
San Antonio de Litín,-32.21355,-62.63133,AR
San Antonio,-28.01009,-65.70874,AR
San Antonio,-24.36841,-65.33409,AR
Villa San Agustín,-30.63464,-67.4679,AR
San Agustín,-31.97681,-64.374,AR
Samuhú,-27.51908,-60.39409,AR
Sampacho,-33.38452,-64.72274,AR
Salto,-34.29175,-60.2545,AR
Salta,-24.80645,-65.41999,AR
Salsipuedes,-31.13789,-64.29277,AR
Salsacate,-31.31842,-65.09003,AR
Salliqueló,-36.75151,-62.95913,AR
Saldán,-31.315,-64.312,AR
Sachayoj,-26.67573,-61.81383,AR
Sacanta,-31.66344,-63.04791,AR
Rufino,-34.26237,-62.71128,AR
Rosario de Lerma,-24.98583,-65.5784,AR
Rosario de la Frontera,-25.79856,-64.97386,AR
Rosario,-32.94682,-60.63932,AR
Roldán,-32.89846,-60.90681,AR
Rojas,-34.19774,-60.7337,AR
Rodeo,-30.21014,-69.13262,AR
Rivadavia,-33.19097,-68.4622,AR
Rivadavia,-31.53245,-68.59731,AR
Rivadavia,-24.18552,-62.88535,AR
Río Tercero,-32.17675,-64.11295,AR
Río Segundo,-31.6501,-63.91165,AR
Río Primero,-31.3339,-63.61856,AR
Río Pico,-44.17905,-71.36847,AR
Río Mayo,-45.68618,-70.25664,AR
Río Grande,-53.78773,-67.70975,AR
Río Gallegos,-51.6253,-69.25229,AR
Río Cuarto,-33.13044,-64.35272,AR
Río Colorado,-38.99081,-64.09574,AR
Río Ceballos,-31.1697,-64.3175,AR
Rinconada,-22.44084,-66.16724,AR
Recreo,-31.49076,-60.73299,AR
Recreo,-29.28184,-65.06096,AR
Realicó,-35.03821,-64.24631,AR
Rawson,-43.30031,-65.10564,AR
Rancul,-35.06777,-64.68422,AR
Ramallo,-33.48508,-60.00629,AR
Rafaela,-31.25285,-61.49078,AR
Rada Tilly,-45.92462,-67.55424,AR
Quitilipi,-26.8708,-60.21537,AR
Alfredo Demarchi,-35.29238,-61.40573,AR
Quimilí,-27.64615,-62.41655,AR
Quilino,-30.21417,-64.49937,AR
Quemú Quemú,-36.05483,-63.56594,AR
Punta Alta,-38.8805,-62.07503,AR
Puerto Santa Cruz,-50.01922,-68.52378,AR
Puerto San Julián,-49.30696,-67.7298,AR
Puerto Madryn,-42.76848,-65.03827,AR
Puerto Deseado,-47.75131,-65.89674,AR
Puerta de Corral Quemado,-27.22761,-66.93282,AR
Puelches,-38.1463,-65.91404,AR
Puán,-37.5481,-62.76834,AR
Profesor Salvador Mazza,-22.04897,-63.69075,AR
Presidencia Roque Sáenz Peña,-26.79095,-60.44132,AR
Pozo Hondo,-27.16707,-64.49076,AR
Pozo del Tigre,-24.89755,-60.32391,AR
Pozo del Molle,-32.02127,-62.91931,AR
Porteña,-31.01409,-62.06204,AR
Pomán,-28.39528,-66.21829,AR
Pocito,-31.68333,-68.58333,AR
Plottier,-38.96667,-68.23333,AR
Plaza Huincul,-38.93012,-69.20778,AR
Piquillín,-31.30077,-63.75849,AR
Pilcaniyeu,-41.12288,-70.72152,AR
Pilar,-31.68129,-63.8824,AR
Pigüé,-37.60255,-62.40836,AR
Piedra del Águila,-40.04848,-70.07502,AR
Picún Leufú,-39.51614,-69.28765,AR
Pico Truncado,-46.79942,-67.95785,AR
Perito Moreno,-46.5905,-70.92574,AR
Pergamino,-33.89101,-60.57462,AR
Pérez,-32.99835,-60.76791,AR
Pellegrini,-36.26725,-63.16518,AR
Pehuajó,-35.81081,-61.89897,AR
Patquía,-30.04728,-66.87999,AR
Paso de Indios,-43.86439,-69.04659,AR
Pasco,-32.74683,-63.34162,AR
Pascanas,-33.12458,-63.04022,AR
Parera,-35.14676,-64.50231,AR
Paraná,-31.73271,-60.52897,AR
Pampa de los Guanacos,-26.23002,-61.83774,AR
